name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_195,-2.67105,0.490367,-4.47303,-1.45632,-2.18068,-3.16141,-132227,1.61899e+06,-1.98285e+07,-7.67187,1.48676e+06,-1.75122e+06,3.19885
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_196,-1.08332,0.520449,-2.27395,1.03772,-0.562874,-1.60377,-132651,1.62428e+06,-1.98933e+07,-4.17311,1.49163e+06,-1.75693e+06,1.89916
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_38,-3.1236,0.45244,-4.27566,-1.80857,-2.67116,-3.57604,-29.9682,9.9957,-67.3124,-8.9128,-19.9725,-39.9639,4.63713
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_40,-3.2003,0.516989,-4.33746,-1.7436,-2.68331,-3.71728,-30.7151,10.9108,-74.3119,-8.21884,-19.8043,-41.6258,3.88138
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_42,-2.97007,0.489508,-4.31139,-1.84554,-2.48056,-3.45958,-32.1701,14.186,-91.6564,-6.47906,-17.9841,-46.3561,2.16767
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_44,-3.07174,0.486878,-4.40369,-1.77201,-2.58486,-3.55861,-30.0658,12.7649,-81.4681,-6.63242,-17.3008,-42.8307,2.22872
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_50,-3.69332,0.488056,-4.70623,-2.22396,-3.20526,-4.18138,-42.254,17.8993,-106.054,-7.2614,-24.3547,-60.1533,2.55518
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_52,-3.96908,0.572352,-5.60029,-2.59698,-3.39673,-4.54143,-61.5929,26.1073,-141.84,-15.8142,-35.4856,-87.7002,10.2139
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_54,-3.50387,0.556647,-4.91416,-2.00229,-2.94722,-4.06052,-60.6658,346.913,-4277.07,-6.08075,286.247,-407.579,1.1666
oname:hds_otype:lst_usecol:simulatedequivalent_observationname:30j003m_56,-3.31384,0.529806,-4.71675,-1.90154,-2.78403,-3.84365,-31.4479,24.6489,-283.058,-6.811,-6.79897,-56.0969,2.09425
