iteration,total_runs,mean,standard_deviation,min,max,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,base
0,150,2.02173e+15,2.45468e+16,5.33823e+09,2.99638e+17,6.28464e+09,6.46933e+09,6.29373e+09,6.1231e+09,2.40215e+13,4.32383e+11,6.60563e+09,5.48789e+09,6.81994e+09,6.95871e+09,6.51334e+09,6.20356e+09,5.56587e+09,6.68935e+09,6.44539e+09,6.69852e+09,5.7597e+09,7.82163e+09,7.83105e+09,6.48152e+09,6.73635e+09,6.66517e+09,8.2865e+09,6.72163e+09,5.91933e+09,6.95885e+09,5.58346e+09,6.48288e+09,6.42918e+09,5.8883e+09,1.57482e+15,6.56864e+09,6.55221e+09,6.18588e+09,6.36876e+09,5.98768e+09,6.69651e+09,6.04545e+09,6.3231e+09,5.56717e+09,6.20849e+09,7.11975e+09,6.3631e+09,5.90691e+09,6.3701e+09,6.56292e+09,6.85526e+09,5.82519e+09,6.49194e+09,6.45441e+09,6.91732e+09,6.6277e+09,6.62545e+09,6.81955e+09,6.91118e+09,7.13637e+09,5.98347e+09,6.32788e+09,6.3221e+09,6.80077e+09,7.21246e+09,5.76308e+09,6.19651e+09,5.61815e+09,6.09358e+09,5.87632e+09,7.07077e+09,7.15278e+09,6.08137e+09,6.98209e+09,6.88943e+09,5.39065e+09,6.46789e+09,6.25264e+09,6.96824e+09,7.20696e+09,7.1442e+09,6.21024e+09,7.17171e+09,6.02799e+09,6.22202e+09,7.26585e+09,6.55473e+09,6.16305e+09,5.90445e+09,6.8737e+09,7.40334e+09,5.8244e+09,7.27277e+09,6.21923e+09,,6.73248e+09,6.79129e+09,8.07963e+09,6.6253e+09,6.57679e+09,6.81476e+09,6.84466e+09,5.45833e+09,5.79525e+09,5.78082e+09,6.14101e+09,7.70624e+09,6.52154e+09,6.20153e+09,6.15573e+09,6.11666e+09,6.62618e+09,6.29912e+09,6.19368e+09,6.54034e+09,7.19569e+09,2.99638e+17,6.55458e+09,6.0681e+09,5.7548e+09,6.68271e+09,6.41246e+09,6.17198e+09,6.47691e+09,5.77784e+09,6.20505e+09,1.8801e+10,6.38773e+09,6.69667e+09,5.84006e+09,6.05574e+09,7.27506e+09,5.3536e+09,6.4942e+09,6.16885e+09,5.62406e+09,5.33823e+09,6.31949e+09,6.45639e+09,6.67089e+09,5.90413e+09,6.18628e+09,6.44399e+09,9.17197e+09,6.82245e+09,6.27692e+09,5.43161e+09,8.50215e+09,6.62384e+09,6.56066e+09,5.68311e+09,6.23432e+09,6.99676e+09,6.62582e+09
1,331,9.50851e+11,9.60324e+12,5.29293e+09,1.14183e+14,6.14701e+09,6.46931e+09,6.33188e+09,6.15284e+09,6.82086e+09,2.55461e+13,6.60386e+09,5.39502e+09,6.60049e+09,6.94469e+09,6.4692e+09,6.10259e+09,5.50543e+09,6.66465e+09,6.43757e+09,6.69199e+09,1.14183e+14,7.81757e+09,7.71336e+09,6.47739e+09,6.73166e+09,6.66169e+09,8.27401e+09,6.82126e+09,5.8942e+09,6.95482e+09,5.5794e+09,6.47716e+09,6.43369e+09,5.88126e+09,6.58967e+09,6.56366e+09,6.60635e+09,6.18142e+09,6.32755e+09,5.98657e+09,6.79446e+09,6.03181e+09,6.3337e+09,5.56199e+09,6.21265e+09,7.10058e+09,6.49427e+09,5.90015e+09,6.36616e+09,6.59273e+09,7.00887e+09,5.83776e+09,6.48572e+09,6.45094e+09,6.9135e+09,6.57202e+09,6.63028e+09,6.81677e+09,6.90608e+09,7.13023e+09,5.98072e+09,6.43264e+09,2.49094e+10,6.79874e+09,7.21075e+09,5.65825e+09,6.37388e+09,5.61286e+09,6.1051e+09,5.93304e+09,,7.20367e+09,2.74227e+10,6.98077e+09,6.86136e+09,5.44897e+09,6.45667e+09,6.2517e+09,6.96091e+09,7.20644e+09,7.34159e+09,6.20557e+09,7.15926e+09,6.00401e+09,6.23806e+09,7.26592e+09,6.58705e+09,6.11502e+09,5.90197e+09,6.7977e+09,7.5206e+09,5.81136e+09,7.25235e+09,6.24485e+09,,6.76712e+09,6.78811e+09,8.12977e+09,6.62294e+09,6.59556e+09,6.79063e+09,6.79162e+09,5.45982e+09,5.79441e+09,5.78016e+09,6.15894e+09,7.72738e+09,6.48584e+09,6.19938e+09,6.15053e+09,6.11363e+09,6.65448e+09,6.28845e+09,6.18972e+09,6.55201e+09,7.1509e+09,7.17768e+09,6.55984e+09,6.06893e+09,5.74287e+09,6.60223e+09,6.40208e+09,6.18636e+09,6.39333e+09,5.64326e+09,6.19176e+09,1.65676e+10,6.38458e+09,6.66459e+09,5.82754e+09,6.05318e+09,7.27854e+09,5.33768e+09,6.48281e+09,6.14162e+09,5.62343e+09,5.29293e+09,6.30899e+09,6.45279e+09,6.6681e+09,5.87628e+09,6.22667e+09,6.44261e+09,9.0987e+09,6.91482e+09,6.27001e+09,5.4299e+09,8.49766e+09,6.62277e+09,6.5567e+09,5.68221e+09,6.22969e+09,6.99109e+09,6.61096e+09
2,511,1.16677e+10,6.2532e+10,5.27433e+09,7.64597e+11,6.08664e+09,6.50369e+09,6.20177e+09,6.10584e+09,6.77541e+09,5.92727e+09,6.60372e+09,5.35772e+09,6.46363e+09,6.91243e+09,6.40015e+09,6.1398e+09,5.52207e+09,6.61154e+09,6.42006e+09,6.61697e+09,6.02509e+09,7.72875e+09,7.73088e+09,6.43979e+09,6.58245e+09,6.60381e+09,8.2005e+09,6.73733e+09,5.89111e+09,6.91712e+09,5.57688e+09,6.46853e+09,6.41043e+09,5.8864e+09,6.54457e+09,6.49885e+09,6.58884e+09,6.19629e+09,6.25311e+09,5.97764e+09,6.90504e+09,7.2011e+09,6.3344e+09,5.54341e+09,6.2065e+09,7.06905e+09,6.32741e+09,5.84794e+09,,6.50243e+09,6.68631e+09,5.91132e+09,6.42848e+09,6.42088e+09,6.82588e+09,6.53299e+09,6.60355e+09,1.39408e+10,6.86784e+09,7.08533e+09,5.9714e+09,6.31245e+09,6.26688e+09,6.77074e+09,7.17573e+09,5.73787e+09,6.41487e+09,5.58872e+09,6.08437e+09,5.84851e+09,,7.11848e+09,5.99242e+09,6.94403e+09,6.84249e+09,5.37817e+09,6.38321e+09,6.24515e+09,6.9337e+09,7.1821e+09,7.16217e+09,6.17376e+09,7.02896e+09,6.05637e+09,6.1445e+09,7.38452e+09,6.56117e+09,6.1053e+09,5.88282e+09,6.74659e+09,7.38796e+09,5.79908e+09,7.19266e+09,6.22299e+09,,6.69365e+09,6.75877e+09,7.9312e+09,6.66985e+09,6.53888e+09,6.73465e+09,6.90442e+09,5.82166e+09,5.78258e+09,5.75486e+09,6.14011e+09,7.60906e+09,6.48877e+09,6.18502e+09,6.18272e+09,6.08967e+09,6.7109e+09,6.19263e+09,6.15463e+09,6.50086e+09,7.13374e+09,7.12459e+09,6.51335e+09,6.05584e+09,5.69877e+09,6.58745e+09,6.34386e+09,5.96682e+09,6.48418e+09,5.63415e+09,6.17967e+09,8.40862e+09,6.33379e+09,6.78269e+09,5.80271e+09,6.01608e+09,7.23453e+09,5.33001e+09,6.42949e+09,6.13529e+09,5.61797e+09,5.27433e+09,6.30042e+09,6.4306e+09,6.6345e+09,5.79342e+09,6.17546e+09,6.41671e+09,8.66014e+09,6.95657e+09,6.2514e+09,5.41674e+09,8.45158e+09,7.64597e+11,6.68124e+09,5.66322e+09,6.18378e+09,6.90457e+09,6.51666e+09
3,690,6.06821e+09,4.75406e+08,4.68398e+09,8.00345e+09,5.47252e+09,6.31565e+09,5.84186e+09,5.99049e+09,6.28847e+09,5.54677e+09,6.69564e+09,5.1808e+09,5.49685e+09,6.4087e+09,5.90032e+09,6.04838e+09,5.48155e+09,5.59437e+09,6.32453e+09,5.93749e+09,5.61075e+09,6.84827e+09,6.87361e+09,6.18168e+09,6.25134e+09,6.14121e+09,7.20262e+09,6.45513e+09,5.78334e+09,6.54053e+09,5.44342e+09,6.0387e+09,6.21736e+09,5.72564e+09,6.20775e+09,5.73541e+09,5.67994e+09,5.73053e+09,5.76333e+09,5.80227e+09,6.90504e+09,5.93329e+09,6.06633e+09,5.34072e+09,5.83089e+09,6.32794e+09,5.78677e+09,6.01729e+09,,6.04431e+09,6.73932e+09,5.81959e+09,6.09107e+09,6.22439e+09,5.94064e+09,5.95372e+09,6.20751e+09,6.1041e+09,6.35052e+09,6.75292e+09,5.92642e+09,6.22203e+09,5.77082e+09,6.4853e+09,6.60247e+09,5.59643e+09,6.01263e+09,5.46206e+09,5.97681e+09,5.84851e+09,,6.69009e+09,5.99242e+09,6.46045e+09,6.61179e+09,5.27842e+09,5.8006e+09,6.12377e+09,6.2008e+09,6.57818e+09,6.81257e+09,5.93672e+09,6.8871e+09,5.76765e+09,5.70431e+09,6.38405e+09,6.62343e+09,5.74882e+09,5.7073e+09,6.40461e+09,7.38796e+09,5.79908e+09,6.55967e+09,6.07236e+09,,5.91775e+09,6.40644e+09,5.89578e+09,6.13225e+09,6.27203e+09,6.31685e+09,6.62938e+09,5.48548e+09,5.56453e+09,5.46466e+09,6.02419e+09,6.78029e+09,6.01578e+09,5.83483e+09,5.96344e+09,5.82248e+09,6.34707e+09,5.76019e+09,5.70568e+09,6.2373e+09,6.76316e+09,6.57935e+09,5.92516e+09,5.83511e+09,5.51834e+09,6.17954e+09,6.01862e+09,5.56378e+09,5.8698e+09,5.54536e+09,5.97469e+09,5.85944e+09,5.90519e+09,6.38683e+09,5.65321e+09,5.85102e+09,6.88733e+09,5.24706e+09,5.94507e+09,5.9442e+09,5.56632e+09,5.13254e+09,6.11003e+09,6.09155e+09,6.2358e+09,5.82158e+09,6.00492e+09,6.18849e+09,6.74763e+09,6.68803e+09,6.00746e+09,5.31336e+09,8.00345e+09,6.7802e+09,6.51287e+09,5.44073e+09,5.69406e+09,6.34583e+09,4.68398e+09
